Source,Target,Type,Id,Label,Weight,Art der Beziehung
394,542,Directed,660,Schüler*in von,1,Schüler*in von
394,372,Directed,661,Schüler*in von,1,Schüler*in von
395,10,Directed,662,studiert an,1,studiert an
395,198,Directed,663,Mitglied von,1,Mitglied von
395,69,Directed,664,angestellt bei,1,angestellt bei
395,1,Directed,665,studiert an,1,studiert an
395,48,Directed,666,studiert an,1,studiert an
395,49,Directed,667,studiert an,1,studiert an
395,143,Directed,668,Mitglied von,1,Mitglied von
395,130,Directed,669,angestellt bei,1,angestellt bei
396,1,Directed,670,studiert an,1,studiert an
396,169,Directed,671,Mitglied von,1,Mitglied von
396,12,Directed,672,angestellt bei,1,angestellt bei
396,8,Directed,673,angestellt bei,1,angestellt bei
396,50,Directed,674,studiert an,1,studiert an
396,182,Directed,675,Mitglied von,1,Mitglied von
397,26,Directed,676,angestellt bei,1,angestellt bei
397,30,Directed,677,angestellt bei,1,angestellt bei
397,44,Directed,679,studiert an,1,studiert an
397,192,Directed,680,Mitglied von,1,Mitglied von
397,181,Directed,682,Mitglied von,1,Mitglied von
397,543,Directed,683,Schüler*in von,1,Schüler*in von
398,44,Directed,684,angestellt bei,1,angestellt bei
398,192,Directed,685,Mitglied von,1,Mitglied von
398,131,Directed,686,angestellt bei,1,angestellt bei
399,44,Directed,688,angestellt bei,1,angestellt bei
400,171,Directed,689,Mitglied von,1,Mitglied von
400,12,Directed,690,angestellt bei,1,angestellt bei
400,181,Directed,691,Mitglied von,1,Mitglied von
400,196,Directed,692,Mitglied von,1,Mitglied von
400,174,Directed,693,Mitglied von,1,Mitglied von
401,143,Directed,694,Mitglied von,1,Mitglied von
401,132,Directed,695,angestellt bei,1,angestellt bei
402,26,Directed,696,angestellt bei,1,angestellt bei
404,44,Directed,700,angestellt bei,1,angestellt bei
404,192,Directed,701,Mitglied von,1,Mitglied von
404,12,Directed,702,angestellt bei,1,angestellt bei
404,53,Directed,705,angestellt bei,1,angestellt bei
404,42,Directed,706,angestellt bei,1,angestellt bei
406,197,Directed,707,Mitglied von,1,Mitglied von
406,1,Directed,708,angestellt bei,1,angestellt bei
406,195,Directed,709,Mitglied von,1,Mitglied von
407,52,Directed,710,studiert an,1,studiert an
407,199,Directed,711,Mitglied von,1,Mitglied von
407,26,Directed,712,angestellt bei,1,angestellt bei
407,192,Directed,714,Mitglied von,1,Mitglied von
407,134,Directed,715,angestellt bei,1,angestellt bei
407,111,Directed,716,angestellt bei,1,angestellt bei
407,86,Directed,717,angestellt bei,1,angestellt bei
393,53,Directed,718,studiert an,1,studiert an
393,8,Directed,719,angestellt bei,1,angestellt bei
393,26,Directed,720,studiert an,1,studiert an
393,50,Directed,721,angestellt bei,1,angestellt bei
393,44,Directed,722,studiert an,1,studiert an
393,143,Directed,723,Mitglied von,1,Mitglied von
409,47,Directed,724,studiert an,1,studiert an
409,182,Directed,725,Mitglied von,1,Mitglied von
409,102,Directed,726,angestellt bei,1,angestellt bei
409,54,Directed,727,studiert an,1,studiert an
409,55,Directed,728,studiert an,1,studiert an
409,174,Directed,729,Mitglied von,1,Mitglied von
409,184,Directed,730,Mitglied von,1,Mitglied von
410,15,Directed,731,angestellt bei,1,angestellt bei
410,135,Directed,732,angestellt bei,1,angestellt bei
410,56,Directed,733,studiert an,1,studiert an
412,136,Directed,734,angestellt bei,1,angestellt bei
413,136,Directed,735,angestellt bei,1,angestellt bei
413,137,Directed,736,angestellt bei,1,angestellt bei
415,57,Directed,737,studiert an,1,studiert an
417,11,Directed,738,angestellt bei,1,angestellt bei
418,48,Directed,739,studiert an,1,studiert an
418,197,Directed,740,Mitglied von,1,Mitglied von
418,118,Directed,741,angestellt bei,1,angestellt bei
418,200,Directed,742,Mitglied von,1,Mitglied von
418,138,Directed,743,angestellt bei,1,angestellt bei
418,192,Directed,744,Mitglied von,1,Mitglied von
418,10,Directed,745,angestellt bei,1,angestellt bei
418,139,Directed,746,angestellt bei,1,angestellt bei
418,134,Directed,747,angestellt bei,1,angestellt bei
418,44,Directed,748,angestellt bei,1,angestellt bei
419,140,Directed,749,angestellt bei,1,angestellt bei
419,26,Directed,751,angestellt bei,1,angestellt bei
419,131,Directed,752,angestellt bei,1,angestellt bei
420,131,Directed,753,angestellt bei,1,angestellt bei
421,141,Directed,754,angestellt bei,1,angestellt bei
422,58,Directed,755,studiert an,1,studiert an
422,201,Directed,756,Mitglied von,1,Mitglied von
422,17,Directed,757,angestellt bei,1,angestellt bei
422,59,Directed,758,studiert an,1,studiert an
422,7,Directed,759,angestellt bei,1,angestellt bei
423,25,Directed,760,studiert an,1,studiert an
423,182,Directed,761,Mitglied von,1,Mitglied von
423,88,Directed,762,angestellt bei,1,angestellt bei
423,60,Directed,763,studiert an,1,studiert an
423,61,Directed,764,studiert an,1,studiert an
423,62,Directed,765,studiert an,1,studiert an
423,142,Directed,766,angestellt bei,1,angestellt bei
424,91,Directed,767,angestellt bei,1,angestellt bei
410,63,Directed,768,studiert an,1,studiert an
410,7,Directed,769,angestellt bei,1,angestellt bei
396,196,Directed,770,Mitglied von,1,Mitglied von
396,143,Directed,772,angestellt bei,1,angestellt bei
425,44,Directed,773,studiert an,1,studiert an
425,199,Directed,774,Mitglied von,1,Mitglied von
425,26,Directed,775,angestellt bei,1,angestellt bei
425,30,Directed,776,angestellt bei,1,angestellt bei
425,46,Directed,777,angestellt bei,1,angestellt bei
425,49,Directed,778,studiert an,1,studiert an
426,181,Directed,779,Mitglied von,1,Mitglied von
426,12,Directed,780,angestellt bei,1,angestellt bei
426,197,Directed,782,Mitglied von,1,Mitglied von
426,29,Directed,783,angestellt bei,1,angestellt bei
426,42,Directed,784,angestellt bei,1,angestellt bei
427,200,Directed,785,Mitglied von,1,Mitglied von
427,1,Directed,786,angestellt bei,1,angestellt bei
537,427,Directed,1082,Schüler*in von,1,Schüler*in von
427,197,Directed,788,Mitglied von,1,Mitglied von
427,195,Directed,789,Mitglied von,1,Mitglied von
427,52,Directed,790,angestellt bei,1,angestellt bei
428,26,Directed,792,angestellt bei,1,angestellt bei
428,197,Directed,793,Mitglied von,1,Mitglied von
428,46,Directed,795,angestellt bei,1,angestellt bei
429,200,Directed,796,Mitglied von,1,Mitglied von
429,52,Directed,797,angestellt bei,1,angestellt bei
429,143,Directed,798,Mitglied von,1,Mitglied von
430,44,Directed,799,studiert an,1,studiert an
430,53,Directed,800,studiert an,1,studiert an
431,143,Directed,802,Mitglied von,1,Mitglied von
431,7,Directed,803,angestellt bei,1,angestellt bei
431,1,Directed,804,angestellt bei,1,angestellt bei
431,53,Directed,805,angestellt bei,1,angestellt bei
433,10,Directed,806,angestellt bei,1,angestellt bei
434,26,Directed,807,studiert an,1,studiert an
434,144,Directed,808,angestellt bei,1,angestellt bei
434,50,Directed,809,angestellt bei,1,angestellt bei
435,64,Directed,810,studiert an,1,studiert an
435,192,Directed,811,Mitglied von,1,Mitglied von
435,145,Directed,812,angestellt bei,1,angestellt bei
435,44,Directed,814,angestellt bei,1,angestellt bei
435,146,Directed,815,angestellt bei,1,angestellt bei
393,52,Directed,817,angestellt bei,1,angestellt bei
435,30,Directed,819,angestellt bei,1,angestellt bei
436,65,Directed,820,studiert an,1,studiert an
436,143,Directed,821,Mitglied von,1,Mitglied von
436,10,Directed,822,angestellt bei,1,angestellt bei
436,147,Directed,823,angestellt bei,1,angestellt bei
437,66,Directed,824,studiert an,1,studiert an
438,53,Directed,825,studiert an,1,studiert an
438,26,Directed,826,angestellt bei,1,angestellt bei
439,397,Directed,827,Schüler*in von,1,Schüler*in von
439,596,Directed,828,Schüler*in von,1,Schüler*in von
439,544,Directed,829,Schüler*in von,1,Schüler*in von
439,545,Directed,830,Schüler*in von,1,Schüler*in von
439,546,Directed,831,Schüler*in von,1,Schüler*in von
440,0,Directed,832,studiert an,1,studiert an
440,55,Directed,833,angestellt bei,1,angestellt bei
440,9,Directed,834,angestellt bei,1,angestellt bei
441,44,Directed,835,studiert an,1,studiert an
441,52,Directed,836,angestellt bei,1,angestellt bei
538,441,Directed,1083,Schüler*in von,1,Schüler*in von
